starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 19 19:35:05 2014	1416405905	1	2	3	2
Wed Nov 19 19:35:05 2014	1416405905	1	3	4	3
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:05 2014	1416405905	1	4	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	4
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
Wed Nov 19 19:35:06 2014	1416405906	0	5	5	5
