starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 19 19:39:34 2014	1416406174	1	17	18	14
Wed Nov 19 19:39:34 2014	1416406174	1	19	20	16
Wed Nov 19 19:39:34 2014	1416406174	1	34	35	21
Wed Nov 19 19:39:34 2014	1416406174	1	36	37	27
Wed Nov 19 19:39:34 2014	1416406174	1	40	41	30
Wed Nov 19 19:39:34 2014	1416406174	1	42	43	39
Wed Nov 19 19:39:34 2014	1416406174	1	43	44	42
Wed Nov 19 19:39:34 2014	1416406174	1	46	47	43
Wed Nov 19 19:39:34 2014	1416406174	1	48	50	43
Wed Nov 19 19:39:34 2014	1416406174	1	49	50	43
Wed Nov 19 19:39:34 2014	1416406174	1	50	51	44
Wed Nov 19 19:39:34 2014	1416406174	1	51	52	50
Wed Nov 19 19:39:34 2014	1416406174	1	53	54	46
Wed Nov 19 19:39:34 2014	1416406174	1	56	57	49
Wed Nov 19 19:39:34 2014	1416406174	1	58	59	53
Wed Nov 19 19:39:34 2014	1416406174	1	59	60	56
Wed Nov 19 19:39:34 2014	1416406174	1	59	60	53
Wed Nov 19 19:39:34 2014	1416406174	1	59	60	56
Wed Nov 19 19:39:34 2014	1416406174	1	62	63	59
Wed Nov 19 19:39:34 2014	1416406174	1	63	64	62
Wed Nov 19 19:39:34 2014	1416406174	1	71	72	66
Wed Nov 19 19:39:34 2014	1416406174	1	71	72	67
Wed Nov 19 19:39:34 2014	1416406174	1	73	75	71
Wed Nov 19 19:39:34 2014	1416406174	1	76	77	73
Wed Nov 19 19:39:34 2014	1416406174	1	80	81	77
Wed Nov 19 19:39:34 2014	1416406174	1	80	81	80
Wed Nov 19 19:39:34 2014	1416406174	1	86	88	85
Wed Nov 19 19:39:34 2014	1416406174	1	88	89	86
Wed Nov 19 19:39:34 2014	1416406174	1	88	89	83
Wed Nov 19 19:39:34 2014	1416406174	1	89	90	88
Wed Nov 19 19:39:34 2014	1416406174	1	93	94	92
Wed Nov 19 19:39:34 2014	1416406174	1	95	96	92
Wed Nov 19 19:39:34 2014	1416406174	1	96	97	95
Wed Nov 19 19:39:34 2014	1416406174	1	96	97	95
Wed Nov 19 19:39:34 2014	1416406174	1	99	100	97
Wed Nov 19 19:39:34 2014	1416406174	1	103	104	99
Wed Nov 19 19:39:34 2014	1416406174	1	103	104	101
Wed Nov 19 19:39:34 2014	1416406174	1	105	106	103
Wed Nov 19 19:39:34 2014	1416406174	1	105	106	104
Wed Nov 19 19:39:34 2014	1416406174	1	110	111	107
Wed Nov 19 19:39:34 2014	1416406174	1	112	113	110
Wed Nov 19 19:39:34 2014	1416406174	1	112	113	109
Wed Nov 19 19:39:34 2014	1416406174	1	115	116	111
Wed Nov 19 19:39:34 2014	1416406174	1	115	116	113
Wed Nov 19 19:39:34 2014	1416406174	1	115	116	115
Wed Nov 19 19:39:34 2014	1416406174	1	119	120	118
Wed Nov 19 19:39:34 2014	1416406174	1	121	122	118
Wed Nov 19 19:39:34 2014	1416406174	1	127	128	122
Wed Nov 19 19:39:34 2014	1416406174	1	128	129	120
Wed Nov 19 19:39:34 2014	1416406174	1	130	131	127
Wed Nov 19 19:39:34 2014	1416406174	1	130	131	128
Wed Nov 19 19:39:34 2014	1416406174	1	132	133	128
Wed Nov 19 19:39:34 2014	1416406174	1	133	134	130
Wed Nov 19 19:39:34 2014	1416406174	1	135	136	132
Wed Nov 19 19:39:34 2014	1416406174	1	139	140	134
Wed Nov 19 19:39:34 2014	1416406174	1	139	140	136
Wed Nov 19 19:39:34 2014	1416406174	1	140	141	138
Wed Nov 19 19:39:34 2014	1416406174	1	141	142	139
Wed Nov 19 19:39:34 2014	1416406174	1	143	144	141
Wed Nov 19 19:39:34 2014	1416406174	1	147	148	145
Wed Nov 19 19:39:34 2014	1416406174	1	147	148	143
Wed Nov 19 19:39:34 2014	1416406174	1	147	148	146
Wed Nov 19 19:39:34 2014	1416406174	1	150	151	148
Wed Nov 19 19:39:34 2014	1416406174	1	152	153	150
Wed Nov 19 19:39:34 2014	1416406174	1	155	156	152
Wed Nov 19 19:39:34 2014	1416406174	1	158	159	155
Wed Nov 19 19:39:34 2014	1416406174	1	161	162	157
Wed Nov 19 19:39:34 2014	1416406174	1	167	168	162
Wed Nov 19 19:39:34 2014	1416406174	1	167	168	162
Wed Nov 19 19:39:34 2014	1416406174	1	168	169	168
Wed Nov 19 19:39:34 2014	1416406174	1	172	173	168
Wed Nov 19 19:39:34 2014	1416406174	1	179	180	173
Wed Nov 19 19:39:34 2014	1416406174	1	182	183	175
Wed Nov 19 19:39:34 2014	1416406174	1	186	187	182
Wed Nov 19 19:39:34 2014	1416406174	1	188	189	180
Wed Nov 19 19:39:34 2014	1416406174	1	191	192	188
Wed Nov 19 19:39:34 2014	1416406174	1	193	194	190
Wed Nov 19 19:39:34 2014	1416406174	1	199	199	193
Wed Nov 19 19:39:34 2014	1416406174	1	199	200	198
Wed Nov 19 19:39:34 2014	1416406174	1	201	202	199
Wed Nov 19 19:39:34 2014	1416406174	1	208	209	203
Wed Nov 19 19:39:34 2014	1416406174	1	211	212	208
Wed Nov 19 19:39:34 2014	1416406174	1	213	214	210
Wed Nov 19 19:39:34 2014	1416406174	1	218	218	212
Wed Nov 19 19:39:34 2014	1416406174	1	225	226	219
Wed Nov 19 19:39:36 2014	1416406176	0	230	230	228
